Ei,Ef,deltaE,weight
-72230.3228257907,-72190.3137382931,40.0090874975867,5486.35560054138
-88504.4676160985,-88514.1637010731,-9.69608497462468,6591.33543064191
-97267.0812542103,-97268.7666687044,-1.68541449410259,7091.69921107309
-144225.325932526,-144189.519058968,35.8068735587585,10081.2101027005
-85424.5661488642,-85431.8965222827,-7.33037341841555,6348.28487218713
-65065.1723475112,-65076.3069415977,-11.1345940865067,5039.43966877868
-144217.902736753,-144142.113449217,75.7892875366379,10077.4379509831
-124424.865702946,-124453.400182291,-28.5344793449476,8990.89675579361
-127121.946161237,-127140.41657618,-18.4704149437603,8903.02996834076
-189223.72665789,-189220.272492596,3.45416529438808,13294.5625684428
-95092.7646933394,-95101.9212980878,-9.15660474842298,7017.94276145273
-128583.606007663,-128611.888108841,-28.2821011782362,9027.0140119443
-94341.4285865671,-94338.5047334088,2.92385315835418,6985.61712269128
-138983.956307915,-139063.920534336,-79.9642264209106,9830.1701490819
-70890.6532419581,-70882.7610547485,7.89218720956706,5464.81804375704
-92132.0368711175,-92132.5779798637,-0.541108746212558,6791.22367702083
-101712.907728156,-101703.996780095,8.91094806110777,7377.785500201
-56074.8548110001,-56084.1243768738,-9.26956587372842,4337.3628121387
-128761.103947762,-128766.48662482,-5.38267705711769,9227.27041507486
-102143.226365844,-102153.367443226,-10.141077381224,7561.54870312626
-113104.414237992,-113098.075205337,6.33903265489789,7908.36751702965
-99876.8917375392,-99890.0874337994,-13.1956962601107,7402.62008314019
-96503.4818082004,-96486.102867383,17.3789408173907,7198.00203867855
-115775.310550228,-115806.732676932,-31.422126703852,8349.99550788159
-87954.5580176667,-87962.5337443219,-7.97572665524785,6611.66685605768
-99931.5464974438,-99965.3649842144,-33.8184867706004,7398.04272163158
-84045.0493220642,-84043.6410063885,1.40831567568239,6227.2229063039
-197162.181850197,-197203.491928619,-41.3100784216658,13667.891730125
-102974.903700302,-102999.041392675,-24.1376923735079,7606.59263230563
-134314.695508114,-134313.929030261,0.766477853205288,9477.73409999445
-145201.221288582,-145182.375845793,18.8454427887045,10329.7795103323
-123335.161946964,-123355.357513318,-20.1955663537956,8781.24841858371
-143754.824527993,-143699.345508761,55.4790192320943,10315.6440485987
-155451.562316228,-155526.557062869,-74.9947466412559,10877.4462203615
-54088.8234482917,-54078.0204570755,10.8029912162528,4269.38460792847
-105133.850495244,-105136.052735785,-2.20224054057326,7752.29839763691
-169552.836709641,-169578.5073873,-25.6706776599749,11726.1696855434
-144967.944588428,-144959.198615468,8.74597296011052,10107.8318841493
-65838.2984439361,-65847.7334302446,-9.43498630847898,5060.42995921423
-76052.0176621085,-76082.1856837332,-30.1680216246459,5663.55269841885
-105465.710295097,-105491.375561263,-25.6652661652915,7694.57619847562
-117029.546808729,-117002.206053206,27.3407555230515,8242.0606166912
-117917.269042631,-117917.382544789,-0.113502158274059,8535.26253405254
-157716.842896881,-157775.714235334,-58.8713384522416,10929.4577418183
-121629.649500695,-121576.247002173,53.4024985221913,8788.10880991233
-97288.0398159447,-97238.8838816739,49.1559342708206,6903.5726132007
-99076.0483334369,-99072.4811905861,3.56714285089402,7196.77230014949
-139660.190751312,-139636.872784822,23.3179664897616,9976.50093304499
-140335.054262647,-140283.44894251,51.6053201363829,9832.71296982196
-152054.410997788,-152004.675501332,49.7354964560072,10584.1006008893
-144865.757665294,-144839.052595053,26.705070240947,10141.3339018742
-143048.114934653,-143062.367568358,-14.2526337051531,9831.73997729745
-198754.603093442,-198792.067246652,-37.4641532093228,13780.8357366936
-129000.875314434,-129040.276657562,-39.4013431289495,9044.09465331777
-83021.9994427366,-83003.8958627181,18.1035800184618,6317.30566667049
-122394.220000332,-122409.719760984,-15.4997606512043,8642.21410891601
-115210.386535207,-115285.67446826,-75.2879330525466,8143.15734306895
-118386.862104602,-118354.046153247,32.8159513550199,8852.86810515697
-221757.225067528,-221635.918305372,121.306762156251,14961.2456820157
-94467.4552944996,-94471.6882030353,-4.23290853577782,6913.14222598998
-135509.923531102,-135561.410443756,-51.4869126537815,9507.9570736461
-83572.0452076542,-83576.2986345665,-4.25342691229889,6237.51726188474
-135869.585486222,-135920.766239443,-51.1807532212697,9369.7287496881
-127061.973067558,-127114.633264977,-52.6601974193036,9006.27454212183
-135384.461997436,-135355.211963523,29.2500339133258,9461.50059518442
-105975.57169117,-105964.661064372,10.9106267983443,7870.04536883366
-84998.9319263118,-85003.6469757485,-4.71504943662148,6332.29734983216
-110743.914965003,-110716.71569706,27.1992679428949,7978.64055659232
-57664.6889058068,-57672.8744402394,-8.18553443253768,4407.18631656118
-89626.8582429911,-89653.3408407822,-26.4825977911241,6529.95096928859
-97951.3403075474,-97959.3679578014,-8.02765025399276,7358.59044275378
-135253.223430116,-135214.988350169,38.2350799469568,9650.61546510375
-130590.459159195,-130572.304506082,18.154653112535,9460.64015703696
-173763.861840984,-173831.05792262,-67.1960816362407,12098.4770456755
-112664.880058944,-112686.703714607,-21.8236556629272,8118.33005332909
-93068.3808924425,-93069.6949858836,-1.3140934411058,6815.70049474714
-97435.6931281617,-97427.8862424943,7.80688566736353,6964.62488542643
-96475.8060247818,-96449.795969574,26.0100552077784,7206.70787938806
-93289.4857053648,-93310.3481655543,-20.8624601894699,6840.96671872104
-123389.717754145,-123409.331748015,-19.6139938704,8950.08370963074
-119258.818110015,-119238.156274581,20.6618354344537,8781.65893798551
-107074.974234663,-107088.65300716,-13.6787724970636,7737.38062628647
-123791.653115225,-123728.749561005,62.9035542193596,8880.37503875514
-67769.8565917525,-67753.4112306461,16.4453611064673,5211.39558550135
-120865.463773121,-120885.754859359,-20.2910862379213,8757.19612144206
-56174.0467145409,-56174.5772987471,-0.53058420625166,4341.35163596978
-104593.494515237,-104523.10571037,70.3888048667577,7634.01726425266
-80248.4667581425,-80270.1620088635,-21.6952507210226,5982.55699756922
-125186.884761805,-125148.479734492,38.4050273128814,8801.10070678913
-145642.204092129,-145662.482222673,-20.2781305438257,10139.5656232387
-112628.63021757,-112570.481039338,58.1491782317171,8148.05335717437
-89818.9725134942,-89845.2334848835,-26.260971389318,6564.92484598799
-145279.711806553,-145196.24940499,83.4624015621084,10156.404859629
-128115.652711978,-128070.757539222,44.8951727559906,9049.91706066509
-114409.166273256,-114472.440018842,-63.2737455859315,8187.00296389389
-107326.860004091,-107334.720111853,-7.86010776246258,7859.21370781635
-97360.4395921421,-97365.7438635105,-5.30427136842627,7068.43603874356
-111433.024518651,-111445.283924464,-12.2594058128161,8330.2366523468
-72191.0201512789,-72188.7571697395,2.26298153934476,5429.53998877563
-106298.901586239,-106269.82622251,29.075363728989,7693.11926380004
-127147.686059556,-127065.39534083,82.2907187265228,9117.76500436119
-123344.311262013,-123293.946858802,50.3644032112061,8756.08090245181
-132111.811306348,-132131.048160715,-19.2368543673074,9386.47139225494
-183988.989391632,-183976.226030869,12.7633607632888,12825.9663056406
-85043.6703575343,-85062.2755443545,-18.6051868201903,6401.16398752997
-72141.219953483,-72124.4898527444,16.7301007385831,5507.89064965227
-123572.078985109,-123581.017497904,-8.93851279430964,8703.84433373007
-132940.872923013,-132970.671575187,-29.7986521737475,9723.67944045555
-92169.2487337511,-92180.6880419143,-11.4393081631715,6659.77365935796
-131267.094309477,-131260.059148111,7.03516136627877,9281.30767479642
-89796.7386013871,-89797.5724257617,-0.833824374640244,6503.02678559141
-70355.1062711051,-70357.9272567576,-2.8209856524627,5419.28073633655
-66152.8448937337,-66140.2481444209,12.5967493127391,5014.14951318485
-105581.440485701,-105610.146847635,-28.7063619337569,7652.00585740729
-80442.4684612254,-80465.0488800521,-22.580418826692,5936.00488747482
-125029.174206447,-125066.219494575,-37.0452881274832,8886.69972042339
-91473.3479833801,-91458.1153706932,15.2326126869302,6611.91023033129
-106503.061718853,-106505.231285777,-2.16956692381063,7854.96039943291
-131710.802244402,-131692.629734663,18.1725097392045,9320.5872353402
-105250.220987942,-105249.17084879,1.0501391524158,7794.41002706886
-94706.0758361225,-94708.9679241167,-2.89208799415792,7021.6258835739
-129001.020138618,-129104.173994201,-103.153855582481,9252.1201893833
-91879.1456684215,-91832.5279290725,46.6177393490652,6680.12984004189
-82996.3778479121,-82992.8433740207,3.53447389138455,6212.07188872589
-83643.4212399714,-83629.6562069956,13.7650329758326,6146.28117635514
-93750.4390955883,-93755.8514741781,-5.4123785898264,6970.1161416761
-175602.191831333,-175638.959934224,-36.7681028915104,12054.054082953
-131753.433751625,-131761.066843025,-7.63309139944613,9251.89771663773
-60573.6494974796,-60562.9774386723,10.672058807344,4625.28572938016
-128092.616105412,-128146.86267454,-54.2465691280813,9040.44293032829
-88719.0074967654,-88727.709000824,-8.70150405859749,6770.81701011131
-212540.748430258,-212514.811767641,25.9366626171395,14556.8162845973
-48393.62294719,-48387.0386157235,6.5843314665035,3806.8785069703
-92984.7531860002,-92991.5868067067,-6.83362070641306,6744.65238627395
-112939.780272997,-112889.11990996,50.6603630369209,8143.51931430733
-75950.4112404018,-75962.1147046353,-11.7034642335057,5723.61422871973
-87712.8273759383,-87707.4334098344,5.39396610394761,6488.30849864127
-80737.4109945089,-80731.4127554388,5.99823907011887,5990.98121814894
-123131.309428187,-123147.069072116,-15.7596439288609,8833.41057455113
-78237.8558192331,-78218.3637310616,19.4920881714788,5815.69939479622
-117525.321707944,-117527.819674072,-2.49796612786304,8624.50324879459
-60519.7378057684,-60512.1528867275,7.58491904093535,4741.62345883768
-89626.861391965,-89645.5382087042,-18.6768167391856,6657.18429927659
-97933.0912495004,-97919.5593041606,13.5319453398261,7236.4971459588
-70557.4648230565,-70547.1850890982,10.2797339582903,5503.93781624522
-130318.785421397,-130329.216588757,-10.4311673600168,9108.67381785192
-150428.940728052,-150419.726398674,9.21432937786449,10524.8973806961
-167840.434590006,-167808.190530517,32.2440594882355,11618.973321218
-123588.848275476,-123548.161294783,40.6869806927425,8922.56874219439
-75556.0272952692,-75554.3294964568,1.69779881242721,5765.4499233317
-119451.77865553,-119475.91934166,-24.1406861299183,8521.92552859493
-86600.6342426965,-86588.8601384743,11.7741042221896,6252.69346804425
-99228.2779863422,-99247.065565173,-18.7875788308302,7383.23134058711
-95533.179981695,-95492.3512045579,40.8287771371397,7042.59118313826
-78577.4777245989,-78587.6320667606,-10.1543421616952,5909.5475649588
-145545.409422014,-145616.781610623,-71.3721886092681,10223.7151224021
-141924.299485316,-141931.914129691,-7.61464437554241,10163.0262013672
-70328.5437639884,-70316.7658091528,11.7779548355902,5439.72617967072
-62841.2075201269,-62832.8746532237,8.33286690317618,4866.48656633898
-97481.0850403361,-97525.4020081062,-44.316967770108,7175.2994085557
-117200.765775978,-117219.429930712,-18.6641547339677,8646.74173361946
-96569.2157226275,-96566.1958661681,3.01985645937384,7092.42955065078
-99164.6787002933,-99201.8492994562,-37.1705991629133,7266.61628067892
-119348.23521345,-119363.956661159,-15.7214477088128,8542.67192770201
-63998.932716102,-63996.5730213783,2.35969472373108,4987.24681475953
-71505.6907937553,-71514.5722621027,-8.88146834739018,5509.49000888973
-221010.282236628,-221038.673286491,-28.3910498625191,15135.7010919565
-180309.23201429,-180239.055940791,70.1760734995478,12336.0637539784
-89175.4526239828,-89158.6166798836,16.8359440991771,6630.08619869843
-216049.518192843,-216210.954507556,-161.436314713064,14835.3644190888
-93115.5927371243,-93104.364839726,11.227897398232,6781.67940820781
-122853.037442804,-122858.398030881,-5.36058807713562,8890.60344312794
-147390.914973765,-147409.012169547,-18.0971957820293,10347.0300186444
-119572.563071868,-119538.362198481,34.2008733864059,8623.71528545886
-159917.357957279,-159946.93344298,-29.5754857008287,11449.954166358
-120750.169598295,-120718.114883774,32.0547145208548,8944.71390991708
-85814.9225083928,-85806.6891429004,8.23336549232772,6456.81157069777
-130667.017040205,-130661.058060697,5.95897950825747,9337.7906044224
-158534.282634385,-158504.904418569,29.3782158162794,10877.48250829
-118980.974543627,-118974.006609641,6.96793398667069,8435.36029520299
-110547.483310854,-110520.75891529,26.7243955644517,7886.04150137824
-78106.8497025437,-78149.0583403287,-42.2086377850501,5720.38117446746
-70602.5500410223,-70580.7354949056,21.8145461167005,5440.97138425037
-169942.891593763,-169961.660795186,-18.7692014224594,11775.0657760166
-98272.4504467737,-98232.9094763618,39.5409704118938,7074.92905857283
-100089.437706835,-100062.587764452,26.8499423822796,7306.76689572487
-104623.811444364,-104629.348001666,-5.53655730186438,7924.04872567516
-127581.279553868,-127567.580893142,13.6986607263825,8959.79261561745
-73832.1653573587,-73837.0018929118,-4.83653555304045,5668.26998262004
-79399.0520451836,-79410.0675024512,-11.0154572675965,5943.83238669802
-113883.037951229,-113869.142247055,13.895704173905,8046.06909023426
-99724.6055800562,-99693.9686283294,30.6369517268467,7349.09821704748
-121217.384218848,-121263.235342797,-45.8511239492509,8730.20970323348
-174162.901037015,-174141.227484668,21.6735523465031,12257.9472499677
-66572.7858267225,-66537.7710794353,35.0147472872632,5018.57517460144
-61874.6459027516,-61871.591276323,3.05462642863131,4788.24051630404
-143078.346161752,-143088.173914913,-9.82775316113839,10115.2618638502
-103021.093631207,-103010.59318528,10.5004459276097,7423.40656357187
-84290.3368617541,-84316.331039444,-25.9941776899359,6169.12848937466
-149384.827339621,-149387.527518788,-2.70017916741199,10444.9646374493
-75815.9234825782,-75798.0117450118,17.9117375664937,5640.87761986197
-126819.384277915,-126764.64634971,54.7379282050388,9159.4400232458
-117220.731626398,-117235.039534885,-14.3079084868805,8781.78929548545
-102904.148403275,-102898.70601504,5.44238823470369,7474.9602617379
-65303.3788095266,-65291.8051082413,11.5737012852915,5023.67680189698
-123156.358025498,-123146.895055038,9.46297045980464,8822.4728469537
-164240.032510305,-164224.392761609,15.6397486956848,11408.4187530344
-107537.315094358,-107544.978089063,-7.66299470477679,7978.7477157239
-164205.723659634,-164275.896035657,-70.172376023198,11543.8785925303
-130852.556923675,-130847.884899073,4.67202460160479,9376.8563291182
-74203.8722204811,-74205.2928144685,-1.42059398742276,5592.71455898237
-124202.123747954,-124212.673365497,-10.5496175433946,9003.64538917992
-120089.898363352,-120164.296128242,-74.3977648901491,8566.26615901127
-204002.463742283,-204089.602463849,-87.1387215659779,14114.2789464344
-109593.935318623,-109608.265587311,-14.3302686879761,8096.81998778755
-141511.349218667,-141489.250082171,22.0991364963411,9962.12507624244
-125232.629940892,-125208.583652145,24.0462887466856,9123.9240981563
-127067.260677456,-126941.206970354,126.053707101571,8989.48109426242
-154644.737990789,-154657.469298324,-12.7313075349375,11026.5186508685
-113379.631392312,-113273.106348224,106.525044087379,8269.93653912643
-120660.855087017,-120659.492817876,1.36226914156578,8924.81357769396
-153057.376535946,-153016.52110046,40.8554354860971,10708.5383335222
-79927.1596861588,-79937.8598526306,-10.7001664717827,6030.58544569419
-137994.165750094,-137961.531810202,32.6339398917335,9805.445156867
-153390.874846518,-153360.485072824,30.3897736940417,10737.7229444745
-98937.1789601625,-98931.8749800731,5.30398008937482,7350.93622052799
-97737.2374091384,-97765.1857377127,-27.9483285743627,7123.21090364005
-159930.417386641,-159959.222929543,-28.8055429023516,10987.9713098697
-152187.359249965,-152156.787342948,30.5719070167397,10630.953818203
-145347.456110659,-145388.424509543,-40.9683988837351,10344.6462105645
-133845.441402868,-133850.902803435,-5.46140056691365,9724.45821656392
-137365.291155633,-137368.461049319,-3.169893685641,9703.47122308672
-101291.121385082,-101299.545920378,-8.424535296057,7158.71136297934
-144406.901639167,-144403.996320392,2.90531877518515,10053.0571707934
-56516.8590698601,-56524.7345002665,-7.87543040636228,4413.0511340918
-66692.8889847331,-66689.7959399105,3.09304482262814,5213.27410817483
-84849.7650345776,-84846.0301727209,3.73486185671936,6298.29002273245
-160911.136068537,-160915.294884936,-4.15881639966392,11223.267506554
-133240.137534889,-133235.673449291,4.46408559763222,9567.10907440066
-88049.9441209761,-88054.2667989324,-4.32267795632652,6573.94851917618
-118281.58441543,-118298.988988099,-17.4045726692566,8353.19341271969
-117747.280178656,-117764.638671566,-17.358492909887,8526.49973252618
-103094.375336314,-103092.934255586,1.44108072825475,7601.63852995799
-167413.410763136,-167263.168017131,150.242746004718,11568.5109784631
-161877.589297001,-161921.87602254,-44.2867255393066,11458.4704780083
-97475.1459208429,-97481.6380186417,-6.49209779880766,7097.68900694391
-83196.4599819704,-83203.6485281778,-7.18854620739876,6228.97823099668
-75573.9728680321,-75584.2112021213,-10.2383340892411,5707.04185941564
-149938.514171587,-149990.54339569,-52.0292241032002,10456.7623352468
-102702.959237801,-102730.306751339,-27.3475135378103,7370.18641857753
-90151.6010048955,-90087.5604349924,64.0405699030962,6613.18936341856
-64904.5293980447,-64908.7584388458,-4.22904080112494,4927.79099649371
-95738.4338296214,-95733.011484019,5.42234560236102,7070.8442913245
-118243.516598979,-118268.487842462,-24.9712434826361,8521.25746606757
-80174.0172384466,-80166.206206736,7.81103171057475,5931.05649175639
