Ei,Ef,deltaE,weight
-0.319563929465489,-0.319640834548514,-7.69050830249363e-05,1.00150973292273
-0.358274620184768,-0.358209495179576,6.51250051927343e-05,1.00189936370307
-0.323336608086554,-0.32335071911983,-1.41110332759764e-05,1.00154010020487
-0.325329718202538,-0.325348512460125,-1.87942575872735e-05,1.0015875189296
-0.33141288155971,-0.331366819914409,4.60616453008544e-05,1.00162422852516
-0.32467468364199,-0.324754944296238,-8.02606542481543e-05,1.00154412028238
-0.362665840545995,-0.362442936817759,0.000222903728236634,1.00192976499971
-0.338916032648812,-0.339032618726146,-0.000116586077334335,1.00171316333316
-0.359681129332052,-0.359824568355632,-0.000143439023580938,1.0019085745152
-0.359827330964037,-0.359777813878279,4.95170857575666e-05,1.00192361730672
-0.351191182403699,-0.351177795356568,1.33870471308306e-05,1.00182723895601
-0.379033357277104,-0.37911586660273,-8.25093256259235e-05,1.00211691674545
-0.317285958273811,-0.317244100061175,4.18582126364697e-05,1.00148005807397
-0.323250368278021,-0.32327613815709,-2.57698790688266e-05,1.0015579678828
-0.320950692271205,-0.320878492390456,7.21998807495794e-05,1.0015214867055
-0.362307759093747,-0.362383734991871,-7.59758981244141e-05,1.00193831641199
-0.305028252306534,-0.305112289144804,-8.4036838270074e-05,1.00137670858043
-0.329035209622996,-0.329109843631971,-7.46340089748387e-05,1.00161066159386
-0.305281741557476,-0.305204851350464,7.68902070117927e-05,1.001367526746
-0.361405399946874,-0.361491781314943,-8.63813680685444e-05,1.00192853423881
-0.341766586577948,-0.341749862435273,1.67241426746734e-05,1.00172990335343
-0.30412428512334,-0.304097229088878,2.70560344619586e-05,1.00136436898691
-0.307385043567247,-0.307373750206663,1.12933605835308e-05,1.00138652993849
-0.36962139410127,-0.369523484907252,9.79091940184196e-05,1.00202605158806
-0.326901018751483,-0.326857362209821,4.36565416628287e-05,1.00158597780243
-0.382000297807738,-0.381922053403802,7.82444039356678e-05,1.00212666700885
-0.309852874813941,-0.309852563274683,3.11539258113225e-07,1.00141538543429
-0.32714109857311,-0.327130521879247,1.05766938627294e-05,1.00157818556409
-0.371684173798999,-0.371529950494215,0.000154223304784762,1.00203412870029
-0.352570353771242,-0.352622750829769,-5.23970585275535e-05,1.00184520281536
