Ei,Ef,deltaE,weight
-0.35981434008106,-0.359880114243151,-6.57741620906371e-05,1.00170242025005
-0.404199963039838,-0.404184507946317,1.54550935209108e-05,1.00214644817474
-0.361167103969462,-0.361130735029814,3.63689396479239e-05,1.00172098066985
-0.383013121216194,-0.382971713435547,4.14077806471513e-05,1.00193390963206
-0.369923735213733,-0.369945426566628,-2.16913528952589e-05,1.00180168352477
-0.379228644991316,-0.379257034132715,-2.83891413991322e-05,1.00188962658594
-0.393294286686598,-0.393290633893522,3.65279307668054e-06,1.00203227849472
-0.394476017084174,-0.394509342809466,-3.33257252925212e-05,1.00205703091285
-0.398417423973911,-0.398518646695953,-0.000101222722041716,1.00208268338146
-0.406902711098812,-0.40686885475623,3.38563425817395e-05,1.00217054624316
