Ei,Ef,deltaE,weight
-0.319563929465489,-0.319564292921886,-3.63456396923478e-07,1.00150973292273
-0.358274620184768,-0.35825490330704,1.97168777279488e-05,1.00189936370307
-0.323336608086554,-0.323330882865941,5.72522061326186e-06,1.00154010020487
-0.325329718202538,-0.325313541972574,1.61762299636381e-05,1.0015875189296
-0.33141288155971,-0.331441679783977,-2.87982242666018e-05,1.00162422852516
-0.32467468364199,-0.32458940842276,8.52752192305184e-05,1.00154412028238
-0.362665840545995,-0.362693360901268,-2.75203552725922e-05,1.00192976499971
-0.338916032648812,-0.338931757868693,-1.57252198811353e-05,1.00171316333316
-0.359681129332052,-0.359818278742792,-0.000137149410740944,1.0019085745152
-0.359827330964037,-0.359850342961353,-2.30119973160803e-05,1.00192361730672
-0.351191182403699,-0.351190312388893,8.70014806197972e-07,1.00182723895601
-0.379033357277104,-0.37899164600639,4.17112707142286e-05,1.00211691674545
-0.317285958273811,-0.317278996702898,6.96157091339966e-06,1.00148005807397
-0.323250368278021,-0.323312474679313,-6.21064012919503e-05,1.0015579678828
-0.320950692271205,-0.320829549965219,0.000121142305986921,1.0015214867055
-0.362307759093747,-0.362449563376304,-0.000141804282557445,1.00193831641199
-0.305028252306534,-0.305135783783877,-0.000107531477342604,1.00137670858043
-0.329035209622996,-0.329089052704019,-5.3843081022853e-05,1.00161066159386
-0.305281741557476,-0.305331553160435,-4.98116029588047e-05,1.001367526746
-0.361405399946874,-0.361455493765022,-5.00938181475785e-05,1.00192853423881
-0.341766586577948,-0.34171363526552,5.29513124273295e-05,1.00172990335343
-0.30412428512334,-0.304006155400616,0.000118129722723181,1.00136436898691
-0.307385043567247,-0.307485371661533,-0.000100328094285951,1.00138652993849
-0.36962139410127,-0.369778726800632,-0.000157332699362245,1.00202605158806
-0.326901018751483,-0.326827909608976,7.31091425076325e-05,1.00158597780243
-0.382000297807738,-0.382190158007216,-0.000189860199477976,1.00212666700885
-0.309852874813941,-0.309848562083595,4.31273034628976e-06,1.00141538543429
-0.32714109857311,-0.327223997992024,-8.28994189142618e-05,1.00157818556409
-0.371684173798999,-0.371735612347954,-5.14385489542857e-05,1.00203412870029
-0.352570353771242,-0.352564255592846,6.09817839530846e-06,1.00184520281536
-0.285564635210963,-0.285600872468947,-3.62372579846282e-05,1.00116610328576
-0.325003896131339,-0.324965601922755,3.82942085839222e-05,1.00156086217971
-0.370235565756815,-0.370238841112901,-3.27535608585228e-06,1.00199535979405
-0.361831527489413,-0.361773215989223,5.83115001903112e-05,1.00191123808169
-0.350848536421465,-0.350780748717496,6.77877039690911e-05,1.00183329902939
-0.308287050536387,-0.308203101365743,8.39491706444151e-05,1.001397980226
-0.34475312979883,-0.344753440161957,-3.10363126143631e-07,1.00174903389987
-0.337248374196233,-0.3371938354503,5.45387459333635e-05,1.00169846369665
-0.333321890960721,-0.333292545401829,2.93455588920577e-05,1.00166019545985
-0.337539836095432,-0.33744384708578,9.59890096526306e-05,1.00170540437637
-0.262767615527992,-0.262585521974995,0.000182093552996143,1.0009576755121
-0.360638363939891,-0.360686206361521,-4.78424216301954e-05,1.00193468568751
-0.309937281024938,-0.310054120625589,-0.000116839600650787,1.00142118018955
-0.347594939921955,-0.347517265696873,7.76742250820917e-05,1.00179958172909
-0.338415493586299,-0.338376786913137,3.87066731619701e-05,1.00170235441805
