Ei,Ef,deltaE,weight
-0.4016292740382,-0.400578418944826,0.00105085509337377,1.0019000636904
-0.44986090411267,-0.446884288456222,0.00297661565644786,1.00238865344395
-0.407542160306264,-0.407656192271864,-0.000114031965599504,1.00196250482295
-0.433719001004099,-0.433875105405244,-0.000156104401145218,1.00222849496482
-0.415570428476193,-0.415769812064964,-0.000199383588770585,1.00203695573979
-0.419123978663659,-0.417221995227036,0.00190198343662279,1.00206926327187
-0.433256607863421,-0.431085688179335,0.00217091968408584,1.00221208485015
-0.442584903536144,-0.440579082177377,0.0020058213587662,1.00232187429673
-0.446356629430522,-0.446480072088555,-0.000123442658032769,1.00234404074485
-0.44842928916137,-0.447967146909901,0.000462142251469344,1.00236930856536
