omega,S_connected_symmetrized
-5.493442272173604124e+01,0.000000000000000000e+00
-5.490695551037517674e+01,0.000000000000000000e+00
-5.487948829901430514e+01,0.000000000000000000e+00
-5.485202108765344065e+01,0.000000000000000000e+00
-5.482455387629256904e+01,0.000000000000000000e+00
-5.479708666493170455e+01,0.000000000000000000e+00
-5.476961945357083295e+01,0.000000000000000000e+00
-5.474215224220996845e+01,0.000000000000000000e+00
-5.471468503084909685e+01,0.000000000000000000e+00
-5.468721781948823235e+01,0.000000000000000000e+00
-5.465975060812736075e+01,0.000000000000000000e+00
-5.463228339676649625e+01,0.000000000000000000e+00
-5.460481618540562465e+01,0.000000000000000000e+00
-5.457734897404476015e+01,0.000000000000000000e+00
-5.454988176268388855e+01,0.000000000000000000e+00
-5.452241455132302406e+01,0.000000000000000000e+00
-5.449494733996215245e+01,0.000000000000000000e+00
-5.446748012860128796e+01,0.000000000000000000e+00
-5.444001291724041636e+01,0.000000000000000000e+00
-5.441254570587955186e+01,0.000000000000000000e+00
-5.438507849451868026e+01,0.000000000000000000e+00
-5.435761128315781576e+01,0.000000000000000000e+00
-5.433014407179694416e+01,0.000000000000000000e+00
-5.430267686043607966e+01,0.000000000000000000e+00
-5.427520964907520806e+01,0.000000000000000000e+00
-5.424774243771434357e+01,0.000000000000000000e+00
-5.422027522635347196e+01,0.000000000000000000e+00
-5.419280801499260747e+01,0.000000000000000000e+00
-5.416534080363173587e+01,0.000000000000000000e+00
-5.413787359227087137e+01,0.000000000000000000e+00
-5.411040638090999977e+01,0.000000000000000000e+00
-5.408293916954913527e+01,0.000000000000000000e+00
-5.405547195818826367e+01,0.000000000000000000e+00
-5.402800474682739917e+01,0.000000000000000000e+00
-5.400053753546652757e+01,0.000000000000000000e+00
-5.397307032410566308e+01,0.000000000000000000e+00
-5.394560311274479147e+01,0.000000000000000000e+00
-5.391813590138392698e+01,0.000000000000000000e+00
-5.389066869002305538e+01,0.000000000000000000e+00
-5.386320147866219088e+01,0.000000000000000000e+00
-5.383573426730131928e+01,0.000000000000000000e+00
-5.380826705594045478e+01,0.000000000000000000e+00
-5.378079984457958318e+01,0.000000000000000000e+00
-5.375333263321871868e+01,0.000000000000000000e+00
-5.372586542185784708e+01,0.000000000000000000e+00
-5.369839821049698259e+01,0.000000000000000000e+00
-5.367093099913611098e+01,0.000000000000000000e+00
-5.364346378777524649e+01,0.000000000000000000e+00
-5.361599657641437489e+01,0.000000000000000000e+00
-5.358852936505351039e+01,0.000000000000000000e+00
-5.356106215369263879e+01,0.000000000000000000e+00
-5.353359494233177429e+01,0.000000000000000000e+00
-5.350612773097090269e+01,0.000000000000000000e+00
-5.347866051961003819e+01,0.000000000000000000e+00
-5.345119330824916659e+01,0.000000000000000000e+00
-5.342372609688830210e+01,0.000000000000000000e+00
-5.339625888552743049e+01,0.000000000000000000e+00
-5.336879167416656600e+01,0.000000000000000000e+00
-5.334132446280569440e+01,0.000000000000000000e+00
-5.331385725144482990e+01,0.000000000000000000e+00
-5.328639004008395830e+01,0.000000000000000000e+00
